Molecules	Interaction Type	Atom Type Interaction	Pair Sites	Acronym	QM Surface Scan (mp2/aug-cc-pvdz w/BSSE 0.5 Angstrom to 8.1 Angstrom)	QM Surface Scan (mp2/cc-pvqz w/BSSE 0.5 Angstrom to 8.1 Angstrom)
WATER						
Water:Water	Dimer	OGTIP3-X	DH-DH	DR	[716.620679922933, 415.437378064654, 249.570949765543, 153.628649700173,  95.7167327670822, 59.5409938464033, 36.3803999225919, 21.3276506912122,  11.4893750161165, 5.09019005043171, 0.999214141376198, -1.53278528004138,  -3.01933985136406, -3.8169774990519, -4.17037876060331, -4.2435969340636,  -4.14460294509502, -3.9441913596336, -3.68911463863844, -3.41030930108578,  -3.12788607524857, -2.85435708114257, -2.5969219612199, -2.35916449169379,  -2.14231226811308, -1.94614755947663, -1.76963580583768, -1.61133338864055,  -1.46963482642486, -1.34291404536631, -1.22960170357897, -1.12822625078633,  -1.03743474586627, -0.956001401602304, -0.882828336006339, -0.816941070392521,  -0.757480674133621, -0.703694052860011, -0.654923367073941, -0.610595381083616,  -0.570211263957942, -0.533337014678219, -0.49959484843791, -0.468655375659511,  -0.440230798588518, -0.414068918153838, -0.389948031243839, -0.367672523874857,  -0.347069211312949, -0.327984222760616, -0.310280412452765, -0.293835189779131,  -0.278538707509806, -0.264292303558967, -0.251007221166242, -0.238603462214158,  -0.227008797045156, -0.216157959527722, -0.205991853697237, -0.196456926544969,  -0.187504569574447, -0.179090617521326, -0.171174880031793, -0.163720740506478,  -0.156694788830317, -0.150066508551773, -0.14380797922156, -0.137893624584405,  -0.132299991696186, -0.127005525671572, -0.121990417215108, -0.117236416712215,  -0.112726703750471, -0.108445741517052, -0.104379183059508, -0.100513741877123,  -0.0968371195833411]	
Water:Benzene	T-Shaped	CG2R61-OGTIP3	DA-WAT	DPT	[300.92912600895556, 126.76790526980234, 88.74306491711519, 63.158152740508626,  45.14235607280263, 32.08319897026612, 22.46366936812378, 15.336384043368913,  10.06776924288637, 6.206373522961005, 3.4129078273591347, 1.4237023262574124,  0.03298995673971513, -0.9168019745157349, -1.5438555812375145, -1.9359876551129582,  -2.1584867091448876, -2.2598407008627617, -2.275985063463453, -2.2334518071570044,  -2.151850725931144, -2.0456807099644347, -1.925613336843292, -1.7993907348215885,  -1.672476413153343, -1.5485720098784117, -1.4300372650586723, -1.318246881441511,  -1.2138809980625676, -1.1171521962580873, -1.027969212189298, -0.9460557540208396,  -0.8710218625821773, -0.8024191255902043, -0.7397695649893833, -0.6825927592265122,  -0.6304188563096984, -0.5828021960296165, -0.539325883920043, -0.49960481866385925,  -0.46328684763944733, -0.4300515598676573, -0.39960821654363754, -0.37169347447203654,  -0.3460702399016629, -0.3225243052562633, -0.30086229757239974, -0.280910712250643,  -0.26251408959936434, -0.2455311327181902, -0.22983526440459232, -0.21531417415230603,  -0.20186471111137502, -0.18939629023201116, -0.17782511274914176, -0.16707745333309806,  -0.1570850641567199, -0.14778682588993844, -0.13912783235122608, -0.13105786685282853,  -0.12353069740877665, -0.11650498091890922, -0.10994241827534558, -0.10380852221800092,  -0.09807151614837972, -0.09270263293227243, -0.0876744669727425, -0.08296324774302423,  -0.07854565607714029, -0.07440177577839513, -0.07051175282188507, -0.0668582079267792,  -0.06342544951065822, -0.060197755065719324, -0.057161631208634794, -0.05430421472764698,  -0.051613232953847336]	[41.4646520236565, 29.579717804274566, 20.43337033106786, 13.502155368167383,  8.334743302781035, 4.551194673611976, 1.838170818272833, -0.058134986218719355,  -1.3400233454323587, -2.1664499416922403, -2.6606995568603486, -2.9172185048581176,  -3.0074654493896857, -2.984796983123633, -2.8884780658177536, -2.746930629316995,  -2.580334040444235, -2.402686982748913, -2.2234228834030794, -2.048658464960108, -1.8821448325905044, -1.7259783204182921, -1.5811245387673054, -1.4477990399151062,  -1.3257398670295293, -1.2143994634019712, -1.113077357431005, -1.0210080675436,  -0.9374164402976038, -0.8615508477287445, -0.7927009114833713, -0.7302048948768611,  -0.6734528842844886, -0.6218854991570015, -0.5749927194955823, -0.5323110635093177,  -0.4934211576719122, -0.45794498197270134, -0.42554292269549576, -0.3959105114492442,   -0.3687756867556388, -0.343895196717186, -0.3210521224539937, -0.3000526571911883,  -0.2807234885161531, -0.2629096655614767, -0.2464723025366205, -0.23128700213973732,  -0.2172417770651397, -0.20423617339173547, -0.19217971721563637, -0.18099077301483363,  -0.17059589057786315, -0.1609285967380123, -0.15192884677770394, -0.1435424117706096,  -0.1357199746116431, -0.1284168170178363, -0.12159247114515462, -0.11520994484878401,  -0.10923557925515377, -0.1036387104731963, -0.09839128778891967, -0.09346772371118346,  -0.08884453310421828, -0.08450015876418229, -0.08041487118810262, -0.07657051428660959,  -0.07295048951104673, -0.06953932514527418, -0.06632288800365183, -0.06328814801289463,  -0.06042305797047169, -0.057716425812428106, -0.05515796397985645, -0.05273816282813994,  -0.050448193570471804]
Water:Toluene	T Shaped	CG2R61-OGTIP3	DA-WAT	DPT	[303.7475688264677, 127.04821529064873, 89.65805035846373, 64.39497003627953,  46.455271980304865, 33.300408025630695, 23.48331077608792, 16.113562341487874,  10.597534614998724, 6.507698327407844, 3.5165854218829624, 1.3648627529714026,  -0.15295796228749545, -1.1965355459629594, -1.887755359227466, -2.3192111372853947,  -2.5612520475521245, -2.667121272323534, -2.6767960101564596, -2.6200778105677163,  -2.5191186101561445, -2.39035711290262, -2.245943701151545, -2.094741562221744,  -1.943017889205684, -1.795088917946977, -1.6537333453793484, -1.5205958969716906,  -1.3965071665328543, -1.2817364554060782, -1.1761762220503296, -1.07947817249006,  -0.9911461498946139, -0.9106033000526336, -0.8372438779883565, -0.770459905891926,  -0.7096650903187943, -0.6543055077836424, -0.6038730224532071, -0.5578987762638687,  -0.5159568558802802, -0.47766235998373735, -0.44266792596280957, -0.41065876612175806,  -0.3813513336800522, -0.3544883495640622, -0.32984231951847215, -0.30720368115938745,  -0.2863861342334949, -0.2672222294527415, -0.249562349240776, -0.23326863669136033,  -0.21822080526014823, -0.20430836600660446, -0.19143341266199565, -0.17950602723027978,  -0.16844704672201705, -0.15818371141429566, -0.14865002414875772, -0.13978592747384466,  -0.13153905283728182, -0.12385992526114843, -0.11670341405269018, -0.1100293871597533,  -0.10380093840081611, -0.09798455372013627, -0.0925487698393672, -0.08746618219598543,  -0.08270969530295594, -0.07825602655545265, -0.07408352397599578, -0.0701722064138835,  -0.06650403869906592, -0.06306035320708049, -0.0598269790140451, -0.05678868445898866,  -0.05393213420976514]	
Water:Pyridine	T-Shaped	NG2R61-OGTIP3	DA-WAT	DPT	[37.390971437010535, 27.10801221135417, 19.21523438909605, 13.23048487402632,  8.75028178196374, 5.442987798521688, 3.0400462396918106, 1.3268690106745957,  0.13410998209377267, -0.670363568946036, -1.1886421001640446, -1.498950631798246,  -1.6607619342202673, -1.7189022338621822, -1.7067842344250066, -1.6489562780537612,  -1.5631269563631467, -1.46179295888665, -1.3535464759114966, -1.2441235520738718,  -1.1372243330766112, -1.0351397111591878, -0.9392060471221388, -0.8501226728220458,  -0.7681617608117779, -0.6933031130349153, -0.6253267500686766, -0.5638759150832436,  -0.5085090905152498, -0.45873902939742844, -0.4140643246464638, -0.3739924489017729,  -0.3380551075338292, -0.30581727399255665, -0.27688116990776024, -0.2508876652920458,  -0.22751479351602935, -0.20647556901780476, -0.18751478101482133, -0.170405994954439,  -0.15494850684518516, -0.14096431396027345, -0.12829612163064535, -0.11680483771819145,  -0.10636673850231376, -0.09687339773345775, -0.08822839477406086, -0.0803464245396184,  -0.073152140133147, -0.0665788109617597, -0.060567008853732666, -0.05506426809330242,  -0.05002350152025446, -0.04540264840144977, -0.04116424090474442, -0.037274299488519035,  -0.03370245314327969, -0.030421291563726926, -0.027405896666647837, -0.024633616803513576,  -0.02208426090910996, -0.01973906975991446, -0.017581115221868004, -0.015594881241746806,  -0.01376655441022399, -0.012083139253347896, -0.01053289286437439, -0.009105080282912867,  -0.007790181341868845, -0.0065789141815152455, -0.005463338896888673, -0.004435854549484702,  -0.0034895814363877097, -0.002618234856208119, -0.0018161273919250222, -0.0010778873008479195,  -0.0003986455650335188]	
Water:Acetate	Dimer Lone Pair		DH-WAT		[-4.2142388604145955, -4.033365618838427, -3.795035749675955, -3.5307559145218157,  -3.260937181804482, -2.998162108826981, -2.7495983201036553, -2.5188010630030555,  -2.307026379504527, -2.1141517322165737, -1.9392910087406166, -1.7811820362381108,  -1.6384156569824067, -1.509563147038467, -1.393243993610433, -1.288161401483928,  -1.1931198593216352, -1.1070328099074782, -1.0289232119042515, -0.9579201343518087,  -0.893251953689062, -0.8342378910780591, -0.7802788853495212, -0.7308480587819984,  -0.6854819843728004, -0.6437725691554075, -0.6053598163399505, -0.5699255214216756,  -0.5371878763257285, -0.5068966230749596, -0.4788290764003692, -0.45278648153705353,  -0.4285910301208733, -0.40608313372531335, -0.38511931982964887, -0.36557018767606103,  -0.34731893102077893, -0.33025983452552327, -0.31429711532188703, -0.29934397677307184,  -0.2853215812660494, -0.272158285066922, -0.25978899031464475, -0.2481544105520828,  -0.2372005416772359, -0.22687812240765376, -0.21714214136477808, -0.20795144845565694,  -0.19926833761211782, -0.19105824317269987, -0.18328940230730206, -0.17593260693639595,  -0.16896099021390218, -0.16234972133966846, -0.1560758808591917, -0.15011832765236602,  -0.14445745880697552, -0.139075109351966, -0.13395445042126267, -0.1290798281706883,  -0.12443673035572039, -0.12001165385528066, -0.11579198400210124, -0.11176605019134395,  -0.1079228753742927, -0.10425230075863136, -0.10074476184018154, -0.09739136701829512,  -0.09418378794806996, -0.09111422811559441, -0.08817538035567316, -0.08536040266796312,  -0.08266285690124767, -0.080076746955381, -0.0775963838082185, -0.07521645439325875,  -0.07293196577700775]	[-4.306274362554831, -4.078997769754645, -3.8099072545932406, -3.526534326010757,  -3.2457847596203337, -2.977463166596807, -2.7266947557902292, -2.495626524415117,  -2.28461052175879, -2.092984781461258, -1.9195571979366997, -1.7628947282545275,  -1.6214944565584075, -1.4938817588312479, -1.3786627044060156, -1.2745484317668183,  -1.1803633230159483, -1.095044863051027, -1.0176392444152527, -0.9472945075336873,  -0.8832528000219815, -0.8248422085328185, -0.7714683793680785, -0.7226064981750112,  -0.677793370551187, -0.6366201485155607, -0.5987256332189484, -0.5637900367912261,  -0.5315299275927373, -0.5016932317520403, -0.4740555878229451, -0.4484167854786947,  -0.4245979565811349, -0.4024389663909773, -0.3817963237680619, -0.36254126611608917,  -0.3445579974918232, -0.3277422994596908, -0.3120001847496798, -0.29724677456247445,  -0.2834052000584552, -0.2704057808910514, -0.258185215261315, -0.24668594015127765,  -0.23585542824409478, -0.2256457670249381, -0.21601305753732203, -0.20691720354118634,  -0.19832136555681695, -0.1901916788624442, -0.18249708838051665, -0.17520891443823247,  -0.1683007296367158, -0.16174820632859457, -0.15552880158571947, -0.14962167202059898,  -0.14400754138152758, -0.13866855124041105, -0.13358808068386913, -0.12875073329389888,  -0.12414222229235544, -0.11974922829132169, -0.1155593417583404, -0.11156100808551378,  -0.1077434623501419, -0.10409663004673832, -0.10061113168838472, -0.09727820790095763,  -0.09408959072787594, -0.09103762415705711, -0.08811508923377125, -0.08531524483078334,  -0.08263172584784048, -0.08005862421691519, -0.07759030738054816, -0.07522153671430892,  -0.07294738527312279]
AROMATIC						
Benzene-Benzene	T-Shaped	CG2R61-HG2R61	DA-DH	DPT	[29.56709713748227, 20.560028220133383, 13.703543661938513, 8.561860314431268,  4.769363060882039, 2.025289074626088, 0.08647393459443242, -1.2408506842755573,  -2.1093062028333143, -2.6381286695604693, -2.919772748175883, -3.0254327022678806,  -3.009429122535611, -2.9126845603067384, -2.7654888952028283, -2.5898065288012377,  -2.4010970806728347, -2.209937306755047, -2.0232317914498927, -1.8452398673958703,  -1.6783739175049393, -1.5237702889320393, -1.3817412690895345, -1.25208524427317,  -1.1342943222361235, -1.0276783831408243, -0.9314634940811926, -0.8448271949809469,  -0.7669404632690053, -0.6969861321390615, -0.6341852099414698, -0.5777983076375988,  -0.527152840046684, -0.48163086453683585, -0.4406765673933804, -0.4037957029529641,  -0.37054190760538047, -0.34052432794783893, -0.3133907195456451, -0.2888335888845882,  -0.2665718928917761, -0.24636375583144857, -0.2279902263447283, -0.2112536788534095,  -0.19599289558772967, -0.182050106084292, -0.16929259828639467, -0.15760735197340553,  -0.14688525939591052, -0.13703573115245274, -0.1279750646427047, -0.11963203075405876,  -0.11193657275626795, -0.10483519758305307, -0.0982708648090577, -0.092198006862522,  -0.08657185798448541, -0.0813547334014167, -0.07651331805724465, -0.0720135852197127,  -0.0678283012898076, -0.06393192903459584, -0.060302868839300125, -0.056916091296460594,  -0.05375483855780954, -0.05080436485115877, -0.04804157558517324, -0.04545920832410508,  -0.043041648852498046, -0.040775004004211385, -0.038651208424946105, -0.036657458114174916,  -0.034785348965156344, -0.033027193077350095, -0.031374102417049646, -0.029820845279691185,  -0.028357699145584038]	
Benzene-Benzene	Pi-Stack	CG2R61-CG2R61	DA-DA	DP		
Toluene-Toluene	T-Shaped	CG2R61-CG2R61	DA-DH	DPT	[96.70781946677923, 71.44692999525186, 51.869382692964884, 36.84461940985174,  25.43308292015773, 16.8611218336032, 10.499547523542327, 5.8438230224255125,  2.494286862231794, 0.13694938106107146, -1.4733616232451554, -2.5268921504314132,  -3.1706447329073595, -3.5174673624580013, -3.6535005429694674, -3.643897278049607,  -3.5374219921644023, -3.369953334049098, -3.167389335846258, -2.947957795221077,  -2.724087552628282, -2.503958770160273, -2.2926875958864144, -2.093292494057021,  -1.9073545815137207, -1.7355087592344578, -1.5777748792466484, -1.4337758906419877,  -1.30285906622392, -1.1842240616317188, -1.0769757691394954, -0.9801880850837011,  -0.892930183740837, -0.8143103159458732, -0.7434860369405542, -0.6796735819366806,  -0.6221548862138467, -0.5702763239202336, -0.5234523367936242, -0.4811478865922683,  -0.4428858729779445, -0.40823190695571604, -0.37680682356233836, -0.34826618322367203,  -0.32230701527176864, -0.2986570987860313, -0.27707452357404433, -0.25732913551215053,  -0.23927753149230843, -0.22273649113691774, -0.2075509218996472, -0.19360049785711533,  -0.18075118532942372, -0.16891567757145753, -0.15801317493829947, -0.1479274122555479,  -0.13860475042633505, -0.12997157127191747, -0.12197902188898707, -0.11456641775765435,  -0.10768132084162256, -0.10128766493844421, -0.09533917190592604, -0.0898050262223136,  -0.08464846049578229, -0.0798425553035338, -0.07535484519931344, -0.07116755340231987,  -0.0672526105791261, -0.06359639215429286, -0.06017102112388353, -0.05696448538407242,  -0.053959036190219085, -0.05114534377857092, -0.04850155114384575, -0.04601970115275231,  -0.04368883102434086]	
